ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
122,cardiac-cardiovascular,269,University of Texas Health Science Center Houston,United States,Houston,56.3,59.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-health-science-center-houston-229300
123,cardiac-cardiovascular,93,University of Bristol,United Kingdom,Bristol,56.1,70.7,"25,660",https://www.usnews.com/education/best-global-universities/university-of-bristol-505342
124,cardiac-cardiovascular,83,University of Western Australia,Australia,Crawley,56,72.2,"18,405",https://www.usnews.com/education/best-global-universities/university-of-western-australia-503979
125,cardiac-cardiovascular,256,University of Erlangen Nuremberg,Germany,Erlangen,55.8,60.3,"33,777",https://www.usnews.com/education/best-global-universities/university-of-erlangen-nuremberg-504002
126,cardiac-cardiovascular,27,University of Melbourne,Australia,Parkville,55.7,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
127,cardiac-cardiovascular,112,Lund University,Sweden,Lund,55.5,69,N/A,https://www.usnews.com/education/best-global-universities/lund-university-500083
128,cardiac-cardiovascular,109,Huazhong University of Science & Technology,China,Wuhan,55.2,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
129,cardiac-cardiovascular,82,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,55.2,72.3,N/A,https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669
130,cardiac-cardiovascular,206,Medical University of Vienna,Austria,Vienna,55.1,62.7,"7,274",https://www.usnews.com/education/best-global-universities/medical-university-of-vienna-504165
131,cardiac-cardiovascular,219,University of Munster,Germany,Munster,54.8,61.9,"28,014",https://www.usnews.com/education/best-global-universities/university-of-munster-500396
132,cardiac-cardiovascular,74,University of Adelaide,Australia,Adelaide,54.6,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
133,cardiac-cardiovascular,140,University of Leeds,United Kingdom,Leeds,54.6,66.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-leeds-505265
134,cardiac-cardiovascular,261,University of Southern Denmark,Denmark,Odense,54.6,60.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-southern-denmark-500382
135,cardiac-cardiovascular,439,Virginia Commonwealth University,United States,Richmond,54.6,53.5,N/A,https://www.usnews.com/education/best-global-universities/virginia-commonwealth-university-234030
136,cardiac-cardiovascular,405,Jefferson University,United States,Philadelphia,54.2,54.3,N/A,https://www.usnews.com/education/best-global-universities/jefferson-university-216366
137,cardiac-cardiovascular,36,University of Queensland,Australia,Brisbane,54.2,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
138,cardiac-cardiovascular,37,University of New South Wales Sydney,Australia,Kensington,54.1,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
139,cardiac-cardiovascular,226,Charles University Prague,Czech Republic,Prague,54,61.6,"49,787",https://www.usnews.com/education/best-global-universities/charles-university-prague-502397
140,cardiac-cardiovascular,156,Newcastle University - UK,United Kingdom,Newcastle upon Tyne,53.9,65.9,"26,920",https://www.usnews.com/education/best-global-universities/newcastle-university-uk-503247
141,cardiac-cardiovascular,463,Wake Forest University,United States,Winston-Salem,53.7,52.8,N/A,https://www.usnews.com/education/best-global-universities/wake-forest-university-199847
142,cardiac-cardiovascular,125,Sapienza University Rome,Italy,Rome,53.4,68,"74,149",https://www.usnews.com/education/best-global-universities/sapienza-university-rome-506550
143,cardiac-cardiovascular,366,Catholic University of the Sacred Heart,Italy,Milan,53.2,55.5,N/A,https://www.usnews.com/education/best-global-universities/catholic-university-of-the-sacred-heart-503167
144,cardiac-cardiovascular,138,University of Bonn,Germany,Bonn,53.1,67,"27,210",https://www.usnews.com/education/best-global-universities/university-of-bonn-504578
145,cardiac-cardiovascular,143,Rutgers State University New Brunswick,United States,Piscataway Township,53,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
146,cardiac-cardiovascular,125,University of Cape Town,South Africa,Cape Town,53,68,"21,069",https://www.usnews.com/education/best-global-universities/university-of-cape-town-504187
147,cardiac-cardiovascular,300,University of Duisburg Essen,Germany,Essen,52.9,58.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-duisburg-essen-505327
148,cardiac-cardiovascular,22,University of Chicago,United States,Chicago,52.8,82.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-chicago-144050
149,cardiac-cardiovascular,330,Linkoping University,Sweden,Linkoping,52.5,57,N/A,https://www.usnews.com/education/best-global-universities/linkoping-university-503497
150,cardiac-cardiovascular,342,University of Turku,Finland,Turku,52.4,56.4,"12,919",https://www.usnews.com/education/best-global-universities/university-of-turku-504089
151,cardiac-cardiovascular,356,University of Colorado Denver,United States,Denver,52.3,55.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-colorado-denver-126562
152,cardiac-cardiovascular,250,University of Illinois Chicago,United States,Chicago,52.1,60.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-chicago-145600
153,cardiac-cardiovascular,180,University of Iowa,United States,Iowa City,51.9,64,"29,257",https://www.usnews.com/education/best-global-universities/university-of-iowa-153658
154,cardiac-cardiovascular,95,Ghent University,Belgium,Gent,51.6,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
155,cardiac-cardiovascular,295,University of Pavia,Italy,Pavia,51.6,58.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-pavia-502948
156,cardiac-cardiovascular,333,Medical University of Graz,Austria,Graz,51.5,56.8,N/A,https://www.usnews.com/education/best-global-universities/medical-university-of-graz-501562
157,cardiac-cardiovascular,175,Tel Aviv University,Israel,Tel Aviv,51.5,64.2,"23,834",https://www.usnews.com/education/best-global-universities/tel-aviv-university-500052
158,cardiac-cardiovascular,300,Western University (University of Western Ontario),Canada,London (Canada),51.5,58.2,N/A,https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965
159,cardiac-cardiovascular,140,Kyoto University,Japan,Kyoto,51.4,66.9,N/A,https://www.usnews.com/education/best-global-universities/kyoto-university-505388
160,cardiac-cardiovascular,143,Autonomous University of Barcelona,Spain,Barcelona,51.2,66.8,"31,933",https://www.usnews.com/education/best-global-universities/autonomous-university-of-barcelona-505700
161,cardiac-cardiovascular,89,Shanghai Jiao Tong University,China,Shanghai,51.2,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
162,cardiac-cardiovascular,250,University of Florence,Italy,Florence,51.2,60.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-florence-501033
163,cardiac-cardiovascular,884,Capital Medical University,China,Beijing,51.1,41.2,N/A,https://www.usnews.com/education/best-global-universities/capital-medical-university-504555
164,cardiac-cardiovascular,450,Tulane University,United States,New Orleans,50.7,53.2,"11,220",https://www.usnews.com/education/best-global-universities/tulane-university-160755
165,cardiac-cardiovascular,134,University of Sheffield,United Kingdom,Sheffield,50.7,67.3,"27,840",https://www.usnews.com/education/best-global-universities/university-of-sheffield-503922
166,cardiac-cardiovascular,461,University of Catania,Italy,Catania,50.4,52.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-catania-504106
167,cardiac-cardiovascular,63,University of Manchester,United Kingdom,Manchester,50.4,73.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273
168,cardiac-cardiovascular,286,University of Maryland Baltimore,United States,Baltimore,50.3,59,N/A,https://www.usnews.com/education/best-global-universities/university-of-maryland-baltimore-163259
169,cardiac-cardiovascular,273,University of Milano-Bicocca,Italy,Milan,49.8,59.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-milano-bicocca-501339
170,cardiac-cardiovascular,106,Radboud University Nijmegen,Netherlands,Nijmegen,49.6,69.4,"21,979",https://www.usnews.com/education/best-global-universities/radboud-university-nijmegen-501519
171,cardiac-cardiovascular,150,Wuhan University,China,Wuhan,49.6,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252
172,cardiac-cardiovascular,241,Hebrew University of Jerusalem,Israel,Jerusalem,49.5,60.9,"16,362",https://www.usnews.com/education/best-global-universities/hebrew-university-of-jerusalem-500554
173,cardiac-cardiovascular,653,Universite Paris-Est-Creteil-Val-de-Marne (UPEC),France,Creteil,49.3,46.8,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-est-creteil-val-de-marne-upec-528863
174,cardiac-cardiovascular,379,Medical University of Innsbruck,Austria,Innsbruck,49.1,55,N/A,https://www.usnews.com/education/best-global-universities/medical-university-of-innsbruck-505463
